Tweet,Subjectivity
0,Pronouns suck
1,?? Twitter sucks
2,Another government stimulus package is not in ...
3,Tesla solar panels are $1.49/Watt \n
4,"While in orbit, astronauts and performed a h..."
5,Impressive Tianwen-1 Mars rover mission launch...
6,Das baby kann noch keinen löffel benutzen
7,"You don’t have a soul, you are a soul"
8,2 minutes later …
9,Coming soon
10,Where are the memes? Send in … the memes …
11,not good this is!
12,This is a very good site. I will recommend it to others.
